,DB_target_rank,DB_target_score,UniProtAC,UniProt_entry_name,nmatching_PDB_structures,targetID,target_NCBI_GeneID,target_domain_len,top_PDB_chain_ID,top_cnstrct_auth_score,top_cnstrct_expr_sys,top_cnstrct_expr_tag,top_cnstrct_taxname
0,14,61.2,Q16539,MK14_HUMAN,188,MK14_HUMAN_D0,1432.0,285.0,2Y8O_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
1,26,53.6,P24941,CDK2_HUMAN,164,CDK2_HUMAN_D0,1017.0,283.0,4BCP_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
2,44,47.9,O14965,AURKA_HUMAN,55,AURKA_HUMAN_D0,6790.0,251.0,2NP8_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
3,16,58.9,P28482,MK01_HUMAN,32,MK01_HUMAN_D0,5594.0,289.0,4FMQ_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
4,179,33.0,P53355,DAPK1_HUMAN,31,DAPK1_HUMAN_D0,1612.0,263.0,4B4L_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
5,74,41.8,P49137,MAPK2_HUMAN,21,MAPK2_HUMAN_D0,9261.0,262.0,2JBO_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
6,17,58.4,P21802,FGFR2_HUMAN,17,FGFR2_HUMAN_D0,2263.0,290.0,3RI1_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
7,163,33.8,O96013,PAK4_HUMAN,17,PAK4_HUMAN_D0,10298.0,252.0,2J0I_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
8,81,40.8,Q13627,DYR1A_HUMAN,7,DYR1A_HUMAN_D0,1859.0,321.0,3ANQ_D,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
9,12,62.2,P00519,ABL1_HUMAN,6,ABL1_HUMAN_D0,25.0,252.0,3UE4_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
10,4,75.2,P15056,BRAF_HUMAN,4,BRAF_HUMAN_D0,673.0,261.0,4JVG_D,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
11,307,29.7,Q9P289,MST4_HUMAN,4,MST4_HUMAN_D0,51765.0,251.0,4FZD_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
12,10,65.2,P12931,SRC_HUMAN,4,SRC_HUMAN_D0,6714.0,254.0,4MXO_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
13,201,32.0,P54646,AAPK2_HUMAN,3,AAPK2_HUMAN_D0,5563.0,253.0,2H6D_A,10,ESCHERICHIA COLI BL21,Nterm_TEV_cleaved,Human
14,247,30.9,Q9HBH9,MKNK2_HUMAN,3,MKNK2_HUMAN_D0,2872.0,305.0,2AC5_A,10,ESCHERICHIA COLI BL21,Nterm_TEV_cleaved,Human
15,92,39.1,P48730,KC1D_HUMAN,2,KC1D_HUMAN_D0,1453.0,269.0,4HNF_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
16,184,32.6,P49674,KC1E_HUMAN,2,KC1E_HUMAN_D0,1454.0,269.0,4HNI_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
17,183,32.7,Q13164,MK07_HUMAN,2,MK07_HUMAN_D0,5598.0,293.0,4IC7_D,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
18,217,31.5,Q13188,STK3_HUMAN,2,STK3_HUMAN_D0,6788.0,252.0,4LG4_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
19,94,38.8,P54760,EPHB4_HUMAN,1,EPHB4_HUMAN_D0,2050.0,285.0,3ZEW_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
20,182,32.7,P54762,EPHB1_HUMAN,1,EPHB1_HUMAN_D0,2047.0,264.0,3ZFX_F,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
21,89,39.5,P29323,EPHB2_HUMAN,1,EPHB2_HUMAN_D0,2048.0,264.0,3ZFM_A,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
22,204,31.9,P54753,EPHB3_HUMAN,1,EPHB3_HUMAN_D0,2049.0,264.0,3ZFY_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
23,31,51.7,Q05397,FAK1_HUMAN,1,FAK1_HUMAN_D0,5747.0,259.0,2IJM_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
24,215,31.6,Q9BUB5,MKNK1_HUMAN,1,MKNK1_HUMAN_D0,8569.0,326.0,2HW6_B,10,ESCHERICHIA COLI,Nterm_TEV_cleaved,Human
25,76,41.4,P11309,PIM1_HUMAN,81,PIM1_HUMAN_D0,5292.0,253.0,4A7C_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
26,157,34.3,P33981,TTK_HUMAN,18,TTK_HUMAN_D0,7272.0,267.0,3H9F_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
27,291,30.0,Q9Y6M4,KC1G3_HUMAN,9,KC1G3_HUMAN_D0,1456.0,271.0,2CHL_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
28,267,30.4,Q9Y6E0,STK24_HUMAN,8,STK24_HUMAN_D0,8428.0,251.0,3ZHP_C,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
29,371,21.5,Q8TF76,HASP_HUMAN,7,HASP_HUMAN_D0,83903.0,315.0,3E7V_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
30,229,31.4,P49761,CLK3_HUMAN,5,CLK3_HUMAN_D0,1198.0,317.0,2WU7_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
31,196,32.1,O43293,DAPK3_HUMAN,4,DAPK3_HUMAN_D0,1613.0,263.0,2J90_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
32,372,20.3,Q16644,MAPK3_HUMAN,4,MAPK3_HUMAN_D0,7867.0,261.0,3FXW_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
33,210,31.8,Q9H2G2,SLK_HUMAN,4,SLK_HUMAN_D0,9748.0,259.0,2JFL_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
34,250,30.8,Q92630,DYRK2_HUMAN,3,DYRK2_HUMAN_D0,8445.0,314.0,3KVW_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
35,284,30.1,Q9NQU5,PAK6_HUMAN,3,PAK6_HUMAN_D0,56924.0,252.0,2C30_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
36,376,17.2,Q9UQM7,KCC2A_HUMAN,2,KCC2A_HUMAN_D0,815.0,259.0,2VZ6_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
37,255,30.7,Q9Y5S2,MRCKB_HUMAN,2,MRCKB_HUMAN_D0,9578.0,267.0,3TKU_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
38,139,35.8,Q96PY6,NEK1_HUMAN,2,NEK1_HUMAN_D0,4750.0,255.0,4APC_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
39,282,30.2,O94768,ST17B_HUMAN,2,ST17B_HUMAN_D0,9262.0,261.0,3LM0_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
40,228,31.4,Q16566,KCC4_HUMAN,1,KCC4_HUMAN_D0,814.0,255.0,2W4O_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
41,360,27.1,Q00532,CDKL1_HUMAN,1,CDKL1_HUMAN_D0,8814.0,284.0,4AGU_C,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
42,219,31.5,P29322,EPHA8_HUMAN,1,EPHA8_HUMAN_D0,2046.0,262.0,3KUL_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
43,225,31.4,Q13555,KCC2G_HUMAN,1,KCC2G_HUMAN_D0,818.0,259.0,2V7O_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
44,248,30.8,Q9P286,PAK7_HUMAN,1,PAK7_HUMAN_D0,57144.0,252.0,2F57_B,9,ESCHERICHIA COLI BL21(DE3),Nterm_TEV_uncleaved,Human
45,135,35.8,P15735,PHKG2_HUMAN,1,PHKG2_HUMAN_D0,5261.0,268.0,2Y7J_D,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
46,304,29.8,Q99640,PMYT1_HUMAN,1,PMYT1_HUMAN_D0,9088.0,250.0,3P1A_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
47,299,29.9,O75716,STK16_HUMAN,1,STK16_HUMAN_D0,8576.0,274.0,2BUJ_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
48,402,11.5,Q7RTN6,STRAA_HUMAN,1,STRAA_HUMAN_D0,92335.0,311.0,3GNI_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
49,444,6.3,Q8IV63,VRK3_HUMAN,1,VRK3_HUMAN_D0,51231.0,292.0,2JII_A,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
50,355,27.4,Q86Y07,VRK2_HUMAN,1,VRK2_HUMAN_D0,7444.0,291.0,2V62_B,9,ESCHERICHIA COLI,Nterm_TEV_uncleaved,Human
51,93,39.0,P29320,EPHA3_HUMAN,21,EPHA3_HUMAN_D0,2042.0,262.0,4GK2_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
52,11,62.3,P11362,FGFR1_HUMAN,13,FGFR1_HUMAN_D0,2260.0,290.0,3KY2_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
